scenario,baseline,metric,proposed_mean,baseline_mean,paired_delta,bootstrap_95_low,bootstrap_95_high
common_mode,nearest,path_m,61.5,52.5,9.0,9.0,9.0
common_mode,nearest,pose_rmse_m,0.37905150163816287,0.5177319857622076,-0.1386804841240447,-0.2115186673750092,-0.061883413813799984
common_mode,nearest,max_pose_error_m,0.662154232944662,0.8907507388297657,-0.2285965058851039,-0.34054628859845826,-0.11491364114859864
common_mode,nearest,failure_steps,1.9,5.5,-3.6,-5.7,-1.7
common_mode,information_gain,path_m,61.5,52.5,9.0,9.0,9.0
common_mode,information_gain,pose_rmse_m,0.37905150163816287,0.5177319857622076,-0.1386804841240447,-0.2115186673750092,-0.061883413813799984
common_mode,information_gain,max_pose_error_m,0.662154232944662,0.8907507388297657,-0.2285965058851039,-0.34054628859845826,-0.11491364114859864
common_mode,information_gain,failure_steps,1.9,5.5,-3.6,-5.7,-1.7
common_mode,distance_advantage,path_m,61.5,56.5,5.0,5.0,5.0
common_mode,distance_advantage,pose_rmse_m,0.37905150163816287,0.48862490707894635,-0.1095734054407835,-0.17810347785406888,-0.04202500404464015
common_mode,distance_advantage,max_pose_error_m,0.662154232944662,0.8091352484147529,-0.14698101547009101,-0.2565426068922071,-0.030025641617798467
common_mode,distance_advantage,failure_steps,1.9,3.3,-1.4,-2.6,-0.2
common_mode,visual_risk,path_m,61.5,56.5,5.0,5.0,5.0
common_mode,visual_risk,pose_rmse_m,0.37905150163816287,0.5486534278672472,-0.1696019262290845,-0.24759515626211598,-0.08339813704398297
common_mode,visual_risk,max_pose_error_m,0.662154232944662,0.8600380364799858,-0.19788380353532375,-0.3231471536626101,-0.05730901966990354
common_mode,visual_risk,failure_steps,1.9,1.8,0.1,-0.8,1.1
complementary,nearest,path_m,55.25,52.5,2.75,2.75,2.75
complementary,nearest,pose_rmse_m,0.2886794706070301,0.4736722800665493,-0.1849928094595193,-0.237028836101437,-0.13470640639662398
complementary,nearest,max_pose_error_m,0.46230315998261773,0.8664555205858953,-0.4041523606032774,-0.48501188659897176,-0.3205259546627368
complementary,nearest,failure_steps,0.7,2.6,-1.9,-3.4,-0.3
complementary,information_gain,path_m,55.25,52.5,2.75,2.75,2.75
complementary,information_gain,pose_rmse_m,0.2886794706070301,0.4736722800665493,-0.1849928094595193,-0.237028836101437,-0.13470640639662398
complementary,information_gain,max_pose_error_m,0.46230315998261773,0.8664555205858953,-0.4041523606032774,-0.48501188659897176,-0.3205259546627368
complementary,information_gain,failure_steps,0.7,2.6,-1.9,-3.4,-0.3
complementary,distance_advantage,path_m,55.25,56.5,-1.25,-1.25,-1.25
complementary,distance_advantage,pose_rmse_m,0.2886794706070301,0.4228879265189883,-0.1342084559119583,-0.1866400525920118,-0.08018220523383619
complementary,distance_advantage,max_pose_error_m,0.46230315998261773,0.7413320095909299,-0.2790288496083121,-0.39312710711072835,-0.16649321704827277
complementary,distance_advantage,failure_steps,0.7,2.4,-1.7,-2.5,-0.9
complementary,visual_risk,path_m,55.25,56.5,-1.25,-1.25,-1.25
complementary,visual_risk,pose_rmse_m,0.2886794706070301,0.48034431600275307,-0.19166484539572298,-0.271495457334562,-0.11399683743300712
complementary,visual_risk,max_pose_error_m,0.46230315998261773,0.7740007908331248,-0.31169763085050706,-0.45581991299424446,-0.18382845039703302
complementary,visual_risk,failure_steps,0.7,3.4,-2.7,-4.5,-1.0
visual_degradation,nearest,path_m,56.5,52.5,4.0,4.0,4.0
visual_degradation,nearest,pose_rmse_m,0.23905106299682038,0.23920263649136703,-0.00015157349454664044,-0.028189073063013412,0.026169675430556434
visual_degradation,nearest,max_pose_error_m,0.3781458860481992,0.403364636267529,-0.0252187502193298,-0.06317174560271964,0.011207064157312227
visual_degradation,nearest,failure_steps,0.0,0.0,0.0,0.0,0.0
visual_degradation,information_gain,path_m,56.5,52.5,4.0,4.0,4.0
visual_degradation,information_gain,pose_rmse_m,0.23905106299682038,0.23920263649136703,-0.00015157349454664044,-0.028189073063013412,0.026169675430556434
visual_degradation,information_gain,max_pose_error_m,0.3781458860481992,0.403364636267529,-0.0252187502193298,-0.06317174560271964,0.011207064157312227
visual_degradation,information_gain,failure_steps,0.0,0.0,0.0,0.0,0.0
visual_degradation,distance_advantage,path_m,56.5,56.5,0.0,0.0,0.0
visual_degradation,distance_advantage,pose_rmse_m,0.23905106299682038,0.2308049493424392,0.00824611365438116,-0.004988526106033437,0.022713515151726895
visual_degradation,distance_advantage,max_pose_error_m,0.3781458860481992,0.3808646972516727,-0.0027188112034735564,-0.028797111302042815,0.024150073341404562
visual_degradation,distance_advantage,failure_steps,0.0,0.0,0.0,0.0,0.0
visual_degradation,visual_risk,path_m,56.5,56.5,0.0,0.0,0.0
visual_degradation,visual_risk,pose_rmse_m,0.23905106299682038,0.23905106299682038,0.0,0.0,0.0
visual_degradation,visual_risk,max_pose_error_m,0.3781458860481992,0.3781458860481992,0.0,0.0,0.0
visual_degradation,visual_risk,failure_steps,0.0,0.0,0.0,0.0,0.0
